date,open,high,low,close,change
2015-07-30,2559.7,2559.7,2542.6,2542.6,-0.1
2015-07-31,2547.3,2547.6,2547.3,2547.6,0.2
2015-08-03,2546.7,2548.8,2546.7,2548.5,0.04
2015-08-04,2551.0,2551.0,2548.9,2548.9,0.02
2015-08-05,2572.1,2572.1,2541.4,2541.4,-0.29
2015-08-06,2542.7,2551.3,2542.7,2551.3,0.39
2015-08-07,2546.7,2549.5,2546.7,2549.5,-0.07
2015-08-10,2544.0,2547.6,2541.5,2547.6,-0.07
2015-08-11,2528.2,2543.5,2528.2,2543.5,-0.16
2015-08-12,2541.4,2552.6,2541.4,2552.6,0.36
2015-08-13,2551.0,2551.0,2550.4,2550.4,-0.09
2015-08-14,2541.9,2562.1,2541.9,2562.1,0.46
2015-08-17,2566.6,2566.6,2559.6,2559.6,-0.1
2015-08-18,2561.3,2561.3,2561.3,2561.3,0.07
2015-08-19,2569.0,2569.0,2542.3,2542.3,-0.74
2015-08-20,2563.3,2563.3,2563.3,2563.3,0.83
2015-08-21,2548.5,2562.2,2548.5,2562.2,-0.04
2015-08-24,2542.0,2563.8,2531.4,2563.8,0.06
2015-08-25,2546.1,2564.9,2546.1,2564.9,0.04
2015-08-26,2554.1,2562.0,2554.1,2562.0,-0.11
2015-08-27,2580.8,2580.8,2562.3,2562.3,0.01
2015-08-28,2571.7,2571.7,2562.1,2562.1,-0.01
2015-08-31,2577.4,2577.4,2561.2,2561.2,-0.04
2015-09-01,2557.2,2560.5,2557.2,2560.5,-0.03
2015-09-02,2571.6,2571.6,2571.6,2571.6,0.43
2015-09-03,2580.5,2596.8,2574.8,2596.8,0.98
2015-09-04,2573.5,2573.5,2573.5,2573.5,-0.9
2015-09-07,2570.9,2574.3,2570.9,2574.3,0.03
2015-09-08,2573.5,2573.5,2567.3,2567.3,-0.27
2015-09-09,2557.1,2573.0,2557.1,2573.0,0.22
2015-09-10,2556.9,2575.5,2556.9,2575.5,0.1
2015-09-11,2553.5,2574.8,2553.5,2574.8,-0.03
2015-09-14,2556.8,2581.1,2551.8,2581.1,0.24
2015-09-15,2582.7,2583.1,2582.7,2583.1,0.08
2015-09-16,2591.3,2591.3,2585.9,2585.9,0.11
2015-09-17,2567.6,2578.9,2567.6,2578.9,-0.27
2015-09-18,2555.7,2578.5,2555.7,2578.5,-0.02
2015-09-21,2608.8,2608.8,2585.1,2585.1,0.26
2015-09-22,2606.2,2606.2,2582.7,2582.7,-0.09
2015-09-23,2592.5,2592.5,2588.9,2588.9,0.24
2015-09-24,2582.9,2587.8,2582.9,2587.8,-0.04
2015-09-25,2601.0,2601.0,2590.1,2590.1,0.09
2015-09-28,2582.7,2590.2,2582.7,2590.2,0.0
2015-09-29,2574.7,2584.5,2568.7,2584.5,-0.22
2015-09-30,2578.4,2587.2,2578.4,2587.2,0.1
2015-10-01,2598.7,2598.7,2584.9,2584.9,-0.09
2015-10-02,2575.7,2588.8,2575.7,2588.8,0.15
2015-10-05,2574.6,2603.3,2574.6,2603.3,0.56
2015-10-06,2615.5,2615.5,2599.9,2599.9,-0.13
2015-10-07,2607.7,2607.7,2607.7,2607.7,0.3
2015-10-08,2611.6,2611.6,2608.1,2608.1,0.02
2015-10-09,2610.0,2610.0,2601.9,2601.9,-0.24
2015-10-12,2617.6,2617.6,2617.6,2617.6,0.6
2015-10-13,2621.4,2621.4,2599.7,2599.7,-0.68
2015-10-14,2597.7,2617.9,2597.7,2617.9,0.7
2015-10-15,2603.1,2613.4,2603.1,2613.4,-0.17
2015-10-16,2630.9,2630.9,2609.7,2609.7,-0.14
2015-10-19,2606.6,2631.6,2606.6,2631.6,0.84
2015-10-20,2631.4,2631.4,2602.9,2602.9,-1.09
2015-10-21,2608.5,2637.6,2608.5,2637.6,1.33
2015-10-22,2639.6,2689.5,2632.0,2689.5,1.97
2015-10-23,2634.4,2634.4,2634.4,2634.4,-2.05
2015-10-26,2646.9,2646.9,2632.8,2632.8,-0.06
2015-10-27,2624.6,2647.5,2624.6,2647.5,0.56
2015-10-28,2654.3,2654.3,2634.8,2634.8,-0.48
2015-10-29,2669.9,2670.3,2645.1,2645.1,0.39
2015-10-30,2638.4,2642.2,2638.4,2642.2,-0.11
2015-11-02,2640.6,2643.3,2640.6,2643.3,0.04
